"evt","SOA","Latency","Offset","evt_num","evt_descr","note"
"DIN4",180,590373,180,4,"std_timbre","standard for timbre"
"DIN1",710,591083,710,1,"std_key","standard for key"
"DIN3",360,591443,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,591803,360,2,"std_rhythm","standard for rhythm"
"DIN6",180,591983,180,6,"melody","melody change"
"DI13",360,592343,360,13,NA,NA
"DIN4",180,592523,180,4,"std_timbre","standard for timbre"
"DIN1",710,593233,710,1,"std_key","standard for key"
"DIN3",360,593593,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,593953,360,2,"std_rhythm","standard for rhythm"
"DIN3",180,594133,180,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,594493,360,2,"std_rhythm","standard for rhythm"
"DIN4",180,594673,180,4,"std_timbre","standard for timbre"
"DIN1",710,595383,710,1,"std_key","standard for key"
"DIN3",360,595743,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,596103,360,2,"std_rhythm","standard for rhythm"
"DIN6",180,596283,180,6,"melody","melody change"
"DI13",350,596633,350,13,NA,NA
"DIN4",180,596813,180,4,"std_timbre","standard for timbre"
"DIN1",710,597523,710,1,"std_key","standard for key"
"DIN3",360,597883,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,598243,360,2,"std_rhythm","standard for rhythm"
"DIN3",180,598423,180,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,598783,360,2,"std_rhythm","standard for rhythm"
"DIN4",180,598963,180,4,"std_timbre","standard for timbre"
"DIN5",710,599673,710,5,"key","key change"
"DI23",360,600033,360,23,NA,NA
"DI22",360,600393,360,22,NA,NA
"DI23",180,600573,180,23,NA,NA
"DI22",360,600933,360,22,NA,NA
"DI24",180,601113,180,24,NA,NA
"DIN1",710,601823,710,1,"std_key","standard for key"
"DIN3",360,602183,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,602543,360,2,"std_rhythm","standard for rhythm"
"DIN6",180,602723,180,6,"melody","melody change"
"DI13",350,603073,350,13,NA,NA
"DIN9",180,603253,180,9,"timbre2","timbre (end of melody)"
"DIN1",690,603943,690,1,"std_key","standard for key"
"DIN7",360,604303,360,7,"tune","mistuning"
"DI13",360,604663,360,13,NA,NA
"DIN3",180,604843,180,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",350,605193,350,2,"std_rhythm","standard for rhythm"
"DIN4",180,605373,180,4,"std_timbre","standard for timbre"
"DIN5",710,606083,710,5,"key","key change"
"DI23",360,606443,360,23,NA,NA
"DI22",360,606803,360,22,NA,NA
"DI23",180,606983,180,23,NA,NA
"DI22",360,607343,360,22,NA,NA
"DI24",180,607523,180,24,NA,NA
"DIN1",710,608233,710,1,"std_key","standard for key"
"DIN3",360,608593,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,608953,360,2,"std_rhythm","standard for rhythm"
"DIN7",180,609133,180,7,"tune","mistuning"
"DI13",360,609493,360,13,NA,NA
"DIN4",180,609673,180,4,"std_timbre","standard for timbre"
"DIN5",710,610383,710,5,"key","key change"
"DIN8",360,610743,360,8,"timbre1","timbre (middle of melody)"
"DIN2",360,611103,360,2,"std_rhythm","standard for rhythm"
